restaurant_name,address,zip_code,restaurant_style,rating_count,avg_rating,price_range,image
5 Acre Farm Daylilies,1578 County Rd 300N,61880,Farmers Market ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/907binSKzbXGGkHWDeclwQ/o.jpg
Sweet Designs,,61853,Bakeries ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/8hFz2pTD1ainVCrQNuaBhQ/o.jpg
Mandarin Wok,403 1/2 E Green St,61820,Chinese ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/ye2hnbFYoa_-xf-nrLCuHg/o.jpg
Jimmy John's,807 S Lincoln Ave,61801,Sandwiches Delis Fast Food ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/R5Pd_DGRdtmdgw1IIl-bNw/o.jpg
A Plus VIP Lounge,214 W Main St,61801,Cafes Karaoke ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/MdPNPbittzCZH7U5Nn_wkQ/o.jpg
China King,205 W Warren St,61873,Chinese ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/Dx7UFG01YjE8goD6lJ07-w/o.jpg
BBQ Premium Chicken,700 S Gregory St,61801,Korean ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/dqevx8aQK5Tsv1UcK-RPsg/o.jpg
Pancheros Mexican Grill,2009 S Neil St,61820,Mexican ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/bNKmAMPoFDnVTPCU8k6GEg/o.jpg
Market at the Square,401 S Vine St,61801,Farmers Market ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/wFFgAZqz9C_-Kq0Ywcnpjg/o.jpg
BoBo's BBQ,1511 W Springfield Ave,61821,Barbeque ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/HX1u_Y6QvsowfsFvHgPUNg/o.jpg
Amaravati  Indian Royal Cuisine,2501 Village Green Pl,61822,Indian ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/MuGo3F6ssRiLqXXBkuTtYg/o.jpg
Just Roll with It,,60957,Food Trucks Fast Food ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/3tU6MJnyNI4yI-_DGtWI_w/o.jpg
YoYo's,104 S Lombard St,61853,Ice Cream & Frozen Yogurt ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/xDbah-OYXxZcV7HFx9pIlA/o.jpg
Caffebene,700 S Gregory St,61801,Cafes Coffee & Tea Desserts ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/UNX5eFEFQRCQQW5-tWww_Q/o.jpg
The Ribeye,1701 S Neil St,61820,Steakhouses Salad Venues & Event Spaces ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/vLuBwnCB_zlAaq84dwW9Mw/o.jpg
Esquire Lounge,106 N Walnut St,61820,Pizza Pool Halls American (Traditional) ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/cqp6ZCBNajrHmqvB_6HV_Q/o.jpg
Hopscotch,802 W John St,61820,Cupcakes Bakeries Custom Cakes ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/g9-bxg9sbfTqowKFMVSVxg/o.jpg
Lucky Moon Pies and More,401 E Oak St,61853,Bakeries Cupcakes Desserts ,0,0,0,https://s3-media3.fl.yelpcdn.com/bphoto/HB9qwwNMshPuKqDq-U9KFQ/o.jpg
Fiesta Cafe,216 S 1st St,61820,Mexican ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/kCLiK04rQSUZQBys_GxsBg/o.jpg
Jarling's Custard Cup,309 W Kirby Ave,61820,Ice Cream & Frozen Yogurt ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/1CFdSdDWcEPU9bHdoZhFEA/o.jpg
Pontious Farm,1958 Blueberry Ln,61884,Fruits & Veggies ,0,0,1,
Geschenk Boutique,228 E Lincoln,61873,Gift Shops Coffee & Tea Ice Cream & Frozen Yogurt ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/dgF2-zm3JcsMqumg-3Okxg/o.jpg
Subway Restaurants,708 S Sangamon Ave,60936,Sandwiches ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/v4LSxWEsuWjtxFcQxU3ipA/o.jpg
Wyldewood Cellars,218 E Lincoln St,61873,Wineries ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/hbYg2K5QZWJuhPXdkz1ycw/o.jpg
Libby's Lounge,905 S Neil St,61820,Cafes Casinos ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/WwGVR49nv8cD5udd_XSOpQ/o.jpg
