"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"LA Brisket","736 N Broadway","90012","Barbeque Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/9_lXWRAo1Mt07xveULdM3Q/o.jpg"
"Pepper Lunch","6 W Main St","91801","Japanese Steakhouses Asian Fusion ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/_ZelMAyRh0b-Grwh2OgZ6w/o.jpg"
"Mike's Deli","4859 W Slauson Ave","90056","Delis Salad Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/EfEo6Z2gvSw_ckpH1tsraw/o.jpg"
"LA Rose Cafe","4749 Fountain Ave","90029","Filipino ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Bt2uwhsD_SrBEKtsYwkUAw/o.jpg"
"Joe's Falafel","3535 Cahuenga Blvd W","90068","Mediterranean ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/U8uUl7fDqSNanAGQPkOTDQ/o.jpg"
"Oi Asian Fusion","4734 Hollywood Blvd","90027","Filipino Asian Fusion Burgers ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/0_SyJ7-CbdlQF3e9PiQr8A/o.jpg"
"786 Degrees","8879 Laurel Canyon Blvd","91352","Pizza Halal Italian ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/WDoA_ALQN-ld2G0jsoCSnw/o.jpg"
"Tokyo Fried Chicken","122 S Atlantic Blvd","91754","Japanese Chicken Shop Southern ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/DKRPSPpF_w2qWpxQ5JmuTg/o.jpg"
"MJ's Grill","7265 Melrose Ave","90046","Burgers American (New) Chicken Wings ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Fnt_uWLLTRBroYjGomD--w/o.jpg"
"HauteMess Gourmet Market","7673 Beverly Blvd","90036","Coffee & Tea Cheese Shops Sandwiches ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/M1hMch5AWQpcGyL3ivmmrA/o.jpg"
"Yang Chow","819 N Broadway","90012","Chinese Seafood Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/IE5gIT5gXcS82yJAyxnG6g/o.jpg"
"TAP The Asian Project - Downtown Burbank","130 N San Fernando Blvd","91502","Asian Fusion ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/wJjSE0ulkyF6Cddk-0APow/o.jpg"
"Guerrilla Tacos","2000 E 7th St","90021","Tacos Cocktail Bars Venues & Event Spaces ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/71DQapP2Fafn-8Kck2IVww/o.jpg"
"Mendocino Farms","7100 Santa Monica Blvd","90046","Sandwiches Salad ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/nSJwiG5piKtMttBebzLd4w/o.jpg"
"Honeybird","3201 S Hoover St","90007","Southern Chicken Shop Desserts ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/iDsUJOAaEDA9Mb7WPUEtKg/o.jpg"
"Beut","450 S Western Ave","90020","Korean ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/MfkL1sw4qH8dNPuiR3myHg/o.jpg"
"Nachos Lab","1322 W Rosecrans Ave","90247","Mexican ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/kd9ZLXJCaFY-yHnk-5811g/o.jpg"
"Humble Potato","12608 Washington Blvd","90066","American (New) Burgers Sandwiches ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/pmU5bbwro1lZeteSAYgNcg/o.jpg"
"Bruxie","1412 3rd St Promenade","90401","Sandwiches Waffles Chicken Shop ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/sektbklf44hjkiGmLuK2tA/o.jpg"
"Malibu Farm Pier Cafe","23000 Pacific Coast Hwy","90265","Cafes ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/h-o5o0jgIkmV5qKtRDbUHg/o.jpg"
"Catch 56","5615 Hollywood Blvd","90028","Seafood British Fish & Chips ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/a3RpHiGeJ1NcjHeOs-oE3g/o.jpg"
"Carney's Sunset Strip","8351 W Sunset Blvd","90069","Burgers Hot Dogs Sandwiches ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/Apj_Hpz40wFvdLC06MHYTQ/o.jpg"
"Mario's Peruvian & Seafood","5786 Melrose Ave","90038","Seafood Peruvian ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/a6kiULS1ljDmoSmLcpRJYw/o.jpg"
"Ricky's Fish Tacos","3201 Riverside Dr","90027","Food Trucks Tacos ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/xOUSwBSssYYBgbLzqV_2dg/o.jpg"
"Ave 26 Taco Stand","W Ave 26 Humboldt St","90031","Food Stands Tacos ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/49m0KkNxKzL5-gjcmbbuQQ/o.jpg"
